epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.672,1.54326,1.76904,1.35053,0.06774,0.13219,0.03683,0.02163,2.51061,55.0225,3.69491,0.00324561,0.00324561,0.0707895
2,352.614,1.49083,1.31896,1.35679,0.04024,0.10936,0.02325,0.00909,3.13781,14.4284,3.97518,0.00644868,0.00644868,0.0406592
3,518.382,1.45045,1.23607,1.34249,0.03985,0.07754,0.01595,0.0043,3.71428,8.38621,5.91902,0.00951975,0.00951975,0.0103969
4,682.151,1.46712,1.19806,1.34169,0.64093,0.50823,0.5562,0.29968,1.79483,1.69662,1.84448,0.009406,0.009406,0.009406
5,849.25,1.41141,1.10907,1.30992,0.5703,0.64828,0.6193,0.37559,1.48662,2.79346,1.41881,0.009208,0.009208,0.009208
6,1012.49,1.356,1.03741,1.28094,0.75192,0.58718,0.63791,0.3457,1.75536,1.36284,1.55678,0.00901,0.00901,0.00901
7,1189.37,1.30099,0.97214,1.25314,0.75114,0.59076,0.65432,0.33631,1.88161,1.2947,1.60706,0.008812,0.008812,0.008812
8,1357.26,1.29522,0.95591,1.24053,0.83134,0.7785,0.82806,0.48193,1.41158,1.09649,1.31885,0.008614,0.008614,0.008614
9,1525.15,1.29045,0.95529,1.23861,0.66083,0.544,0.59335,0.3378,1.6684,1.4402,1.5365,0.008416,0.008416,0.008416
10,1692.03,1.24922,0.92772,1.22945,0.86948,0.73791,0.82023,0.51545,1.28277,1.13109,1.2764,0.008218,0.008218,0.008218
11,1859.7,1.23726,0.89889,1.2123,0.87275,0.77469,0.82964,0.45909,1.4571,0.90263,1.31107,0.00802,0.00802,0.00802
12,2026.58,1.23062,0.89048,1.20272,0.87471,0.76652,0.828,0.51678,1.24166,0.94118,1.2244,0.007822,0.007822,0.007822
13,2192.7,1.16535,0.85027,1.1836,0.90996,0.80005,0.87204,0.53417,1.28205,0.8062,1.21337,0.007624,0.007624,0.007624
14,2359.48,1.16885,0.84647,1.18102,0.91477,0.80591,0.8714,0.51789,1.35639,0.78869,1.23295,0.007426,0.007426,0.007426
15,2526.83,1.16876,0.82904,1.16366,0.89347,0.80431,0.87172,0.54696,1.24951,0.748,1.19207,0.007228,0.007228,0.007228
16,2698.92,1.12862,0.80166,1.15717,0.90614,0.83578,0.89612,0.5822,1.1738,0.8217,1.18875,0.00703,0.00703,0.00703
17,2868.06,1.1668,0.82493,1.17592,0.91571,0.83003,0.88848,0.57993,1.13957,0.78542,1.16134,0.006832,0.006832,0.006832
18,3037.74,1.14104,0.82434,1.17344,0.88563,0.8219,0.88575,0.52376,1.34089,0.79162,1.24106,0.006634,0.006634,0.006634
19,3206.16,1.12287,0.78477,1.14456,0.90152,0.83624,0.89992,0.62571,1.06493,0.74589,1.15053,0.006436,0.006436,0.006436
20,3372.68,1.10947,0.75574,1.1474,0.89688,0.80496,0.87165,0.60359,1.05831,0.69638,1.13024,0.006238,0.006238,0.006238
21,3541.34,1.11132,0.76686,1.14104,0.91074,0.85269,0.90829,0.62807,1.08549,0.66792,1.14048,0.00604,0.00604,0.00604
22,3706.78,1.10551,0.76004,1.14791,0.92449,0.8438,0.9115,0.57132,1.19925,0.7268,1.1701,0.005842,0.005842,0.005842
23,3872.89,1.0784,0.72809,1.12481,0.91638,0.86864,0.91139,0.57035,1.23332,0.79854,1.16783,0.005644,0.005644,0.005644
24,4042.3,1.08208,0.72615,1.12505,0.92792,0.84462,0.90638,0.63317,1.03502,0.66866,1.12283,0.005446,0.005446,0.005446
25,4212.01,1.06395,0.71768,1.11887,0.92599,0.85688,0.91701,0.64388,0.97146,0.64518,1.09787,0.005248,0.005248,0.005248
26,4382.06,1.07373,0.70778,1.12539,0.92732,0.88044,0.92449,0.61545,1.12932,0.67862,1.1417,0.00505,0.00505,0.00505
